EMPRESA;REVENDA;DEPARTAMENTO;NOME;SETOR
5;2;100;VN - VEICULOS NOVOS           ;VEÍCULO      
5;2;200;VU -VEICULOS USADOS           ;VEÍCULO      
5;2;300;PC - PECAS                    ;BALCÃO       
5;2;301;PC - PECAS ATACADO            ;BALCÃO       
5;2;400;AT - ASSISTENCIA TECN SERV.GER;OFICINA      
5;2;410;SC - SERVICOS DE CARROCERIA   ;OFICINA      
5;2;420;AC - ACESSORIOS               ;OFICINA      
5;2;500;AD - ADMINISTRACAO            ;ADMINISTRAÇÃO
5;2;600;F & I                         ;VEÍCULO      
5;2;700;OUTROS RESULTADOS OPERACIONAIS;ADMINISTRAÇÃO
1;1;700;OUTROS RESULTADOS OPERACIONAIS;ADMINISTRAÇÃO
1;1;800;OUTROS RESULT. NAO OPERACIONAI;ADMINISTRAÇÃO
1;1;420;AC - ACESSORIOS               ;OFICINA      
1;1;301;PC - PECAS ATACADO            ;BALCÃO       
5;2;800;OUTROS RESULT. NAO OPERACIONAI;ADMINISTRAÇÃO
5;1;940;AT-ASSISTENCIA TECN-CATALAO   ;OFICINA      
5;3;100;VN - VEICULOS NOVOS           ;VEÍCULO      
5;3;200;VU -VEICULOS USADOS           ;VEÍCULO      
5;3;300;PC - PECAS                    ;BALCÃO       
5;3;400;AT - ASSISTENCIA TECN SERV.GER;OFICINA      
5;3;410;SC - SERVICOS DE CARROCERIA   ;OFICINA      
5;3;420;AC - ACESSORIOS               ;OFICINA      
5;3;500;AD - ADMINISTRACAO            ;ADMINISTRAÇÃO
5;3;600;F & I                         ;VEÍCULO      
5;3;700;OUTROS RESULTADOS OPERACIONAIS;ADMINISTRAÇÃO
5;3;800;OUTROS RESULT. NAO OPERACIONAI;ADMINISTRAÇÃO
5;1;430;FU - FUNILARIA                ;OFICINA      
5;1;550;PV - PÓS VENDAS               ;OFICINA      
1;1;100;VN - VEICULOS NOVOS           ;VEÍCULO      
1;1;200;VU -VEICULOS USADOS           ;VEÍCULO      
1;1;300;PC - PECAS                    ;BALCÃO       
1;1;400;AT - ASSISTENCIA TECN SERV.GER;OFICINA      
1;1;410;SC - SERVICOS DE CARROCERIA   ;OFICINA      
1;1;500;AD - ADMINISTRACAO            ;ADMINISTRAÇÃO
1;1;600;F & I                         ;VEÍCULO      
5;1;110;VN - VEICULOS NOVOS - CONSORCI;NÃO INFORMADO
5;2;430;FU - FUNILARIA                ;OFICINA      
5;3;430;FU - FUNILARIA                ;OFICINA      
5;5;430;FU - FUNILARIA                ;OFICINA      
5;5;940;AT-ASSIST.TECNICA-CATALÃO     ;OFICINA      
5;5;910;VN- VEICULOS NOVOS -CATALÃO   ;VEÍCULO      
5;5;920;VU- VEICULOS USADOS -CATALÃO  ;VEÍCULO      
5;5;930;PC- PEÇAS - CATALÃO           ;BALCÃO       
5;5;950;SC- SERV. DE CARROCERIA - CATA;OFICINA      
5;5;960;AC- ACESSSORIOS - CATALÃO     ;OFICINA      
5;5;970;AD- ADMINISTRAÇÃO - CATALÃO   ;ADMINISTRAÇÃO
5;5;980;F & I - CATALÃO               ;VEÍCULO      
5;5;550;PV -POS VENDA                 ;OFICINA      
5;4;100;VN - VEICULOS NOVOS           ;VEÍCULO      
5;4;200;VU -VEICULOS USADOS           ;VEÍCULO      
5;4;300;PC - PECAS                    ;BALCÃO       
5;4;400;AT - ASSISTENCIA TECN SERV.GER;OFICINA      
5;4;410;SC - SERVICOS DE CARROCERIA   ;OFICINA      
5;4;420;AC - ACESSORIOS               ;OFICINA      
5;4;500;AD - ADMINISTRACAO            ;ADMINISTRAÇÃO
5;4;600;F & I                         ;VEÍCULO      
5;4;700;OUTROS RESULTADOS OPERACIONAIS;ADMINISTRAÇÃO
5;4;800;OUTROS RESULT. NAO OPERACIONAI;ADMINISTRAÇÃO
5;5;100;VN - VEICULOS NOVOS           ;VEÍCULO      
5;5;200;VU -VEICULOS USADOS           ;VEÍCULO      
5;5;300;PC - PECAS                    ;BALCÃO       
5;5;400;AT - ASSISTENCIA TECN SERV.GER;OFICINA      
5;5;410;SC - SERVICOS DE CARROCERIA   ;OFICINA      
5;5;420;AC - ACESSORIOS               ;OFICINA      
5;5;500;AD - ADMINISTRACAO            ;ADMINISTRAÇÃO
5;5;600;F & I                         ;VEÍCULO      
5;5;700;OUTROS RESULTADOS OPERACIONAIS;ADMINISTRAÇÃO
5;5;800;OUTROS RESULT. NAO OPERACIONAI;ADMINISTRAÇÃO
5;3;940;AT-ASSIST.TECNICA-CATALÃO     ;OFICINA      
5;3;910;VN- VEICULOS NOVOS -CATALÃO   ;VEÍCULO      
5;3;920;VU- VEICULOS USADOS -CATALÃO  ;VEÍCULO      
5;3;930;PC- PEÇAS - CATALÃO           ;BALCÃO       
5;3;950;SC- SERV. DE CARROCERIA - CATA;OFICINA      
5;3;960;AC- ACESSSORIOS - CATALÃO     ;OFICINA      
5;3;970;AD- ADMINISTRAÇÃO - CATALÃO   ;ADMINISTRAÇÃO
5;3;980;F & I - CATALÃO               ;VEÍCULO      
5;1;910;VN-VEIC NNOVOS-CATALAO        ;VEÍCULO      
5;1;920;VU-VEIC USADOS-CATALAO        ;VEÍCULO      
5;1;930;PC-PECAS-CATALAO              ;BALCÃO       
5;1;950;SC-ASSIT TEC-CATALAO (FUN)    ;OFICINA      
5;1;960;960-AC-ACESSORIOS-CATALAO     ;BALCÃO       
5;1;970;970-AD-ADMINISTRACAO-CATALAO  ;ADMINISTRAÇÃO
5;1;980;F&I-CATALAO                   ;VEÍCULO      
5;1;100;VN - VEICULOS NOVOS           ;VEÍCULO      
5;1;200;VU -VEICULOS USADOS           ;VEÍCULO      
5;1;300;PC - PECAS                    ;BALCÃO       
5;3;550;PV -POS VENDA                 ;OFICINA      
5;1;400;AT - ASSISTENCIA TECN SERV.GER;OFICINA      
5;1;410;SC - SERVICOS DE CARROCERIA   ;OFICINA      
5;1;420;AC - ACESSORIOS               ;OFICINA      
5;1;500;AD - ADMINISTRACAO            ;ADMINISTRAÇÃO
5;1;600;F & I                         ;VEÍCULO      
5;1;700;OUTROS RESULTADOS OPERACIONAIS;ADMINISTRAÇÃO
5;1;800;OUTROS RESULT. NAO OPERACIONAI;ADMINISTRAÇÃO
5;2;550;PV-POS VENDA                  ;OFICINA      
1;1;-4;VENDA DIRETA                  ;VEICULO      
5;1;-4;VENDA DIRETA                  ;VEICULO      
5;2;-4;VENDA DIRETA                  ;VEICULO      
5;3;-4;VENDA DIRETA                  ;VEICULO      
5;4;-4;VENDA DIRETA                  ;VEICULO      
5;5;-4;VENDA DIRETA                  ;VEICULO      
